Time,Sales Rank,New Price,List Price
"5/12/2024, 6:16:22 PM",334,1329.63,1399.99
"5/12/2024, 9:17:15 PM",293,1293.99,1399.99
"5/13/2024, 12:18:06 AM",325,1329.63,1399.99
"5/13/2024, 3:18:42 AM",250,1329.63,1399.99
"5/13/2024, 6:19:33 AM",230,1329.63,1399.99
"5/13/2024, 9:20:25 AM",237,1329.63,1399.99
"5/13/2024, 3:22:05 PM",252,1329.63,1399.99
"5/13/2024, 6:22:43 PM",271,1329.63,1399.99
"5/13/2024, 9:23:38 PM",291,1329.63,1399.99
"5/14/2024, 12:24:26 AM",330,1329.63,1399.99
"5/14/2024, 3:25:09 AM",392,1329.63,1399.99
"5/14/2024, 6:25:42 AM",416,1295.26,1399.99
"5/14/2024, 9:26:31 AM",352,1295.26,1399.99
"5/14/2024, 3:28:08 PM",371,1295.26,1399.99
"5/14/2024, 6:28:40 PM",354,1295.26,1399.99
"5/14/2024, 9:29:28 PM",392,1295.26,1399.99
"5/15/2024, 12:30:10 AM",390,1295.26,1399.99
"5/15/2024, 3:30:43 AM",392,1295.26,1399.99
"5/15/2024, 6:31:36 AM",388,1295.26,1399.99
"5/15/2024, 9:32:27 AM",408,1295.26,1399.99
"5/15/2024, 12:33:21 PM",359,1295.26,1399.99
"5/15/2024, 6:34:44 PM",364,1295.26,1399.99
"5/15/2024, 9:35:35 PM",363,1295.26,1399.99
"5/16/2024, 3:37:09 AM",387,1295.26,1399.99
"5/16/2024, 6:37:43 AM",362,1295.26,1399.99
"5/16/2024, 9:38:27 AM",381,1295.26,1399.99
"5/16/2024, 12:39:22 PM",397,1295.26,1399.99
"5/16/2024, 3:40:08 PM",427,1295.26,1399.99
"5/16/2024, 6:40:45 PM",462,1295.26,1399.99
"5/17/2024, 12:42:28 AM",487,1295.26,1399.99
"5/17/2024, 3:43:14 AM",356,1295.26,1399.99
"5/17/2024, 6:44:05 AM",353,1295.26,1399.99
"5/17/2024, 9:44:44 AM",313,1295.26,1399.99
"5/17/2024, 12:45:29 PM",319,1326.8,1399.99
"5/17/2024, 3:46:14 PM",289,1326.8,1399.99
"5/17/2024, 6:47:04 PM",296,1326.8,1399.99
"5/17/2024, 9:47:39 PM",326,1326.8,1399.99
"5/18/2024, 12:48:25 AM",299,1326.8,1399.99
"5/18/2024, 3:49:08 AM",311,1329.81,1399.99
"5/18/2024, 6:49:51 AM",333,1326.8,1399.99
"5/18/2024, 9:50:41 AM",298,1326.8,1399.99
"5/18/2024, 12:51:21 PM",281,1326.8,1399.99
"5/18/2024, 9:53:31 PM",292,1326.8,1399.99
"5/19/2024, 12:54:23 AM",303,1326.8,1399.99
"5/19/2024, 3:55:08 AM",271,1330.18,1399.99
"5/19/2024, 6:55:50 AM",285,1330.18,1399.99
"5/19/2024, 9:57:33 AM",300,1329.99,1399.99
"5/19/2024, 12:58:23 PM",308,1329.99,1399.99
"5/19/2024, 3:59:14 PM",317,1329.99,1399.99
"5/19/2024, 7:00:07 PM",338,1329.99,1399.99
"5/19/2024, 10:01:30 PM",312,1329.99,1399.99
"5/20/2024, 1:02:24 AM",341,1329.99,1399.99
"5/20/2024, 4:03:13 AM",244,1329.99,1399.99
"5/20/2024, 7:04:04 AM",228,1329.99,1399.99
"5/20/2024, 10:05:41 AM",266,1329.81,1399.99
"5/20/2024, 1:09:18 PM",291,1330,1399.99
"5/20/2024, 4:11:15 PM",276,1330,1399.99
"5/20/2024, 7:12:20 PM",296,1330,1399.99
"5/20/2024, 10:13:22 PM",365,1330,1399.99
"5/21/2024, 1:14:34 AM",362,1330,1399.99
"5/21/2024, 4:15:23 AM",327,1330,1399.99
"5/21/2024, 7:16:11 AM",302,1330,1399.99
"5/21/2024, 10:17:03 AM",276,1392.55,1399.99
"5/21/2024, 1:17:53 PM",295,1392.55,1399.99
"5/21/2024, 4:18:34 PM",298,1392.55,1399.99
"5/21/2024, 7:19:21 PM",332,1392.55,1399.99
"5/21/2024, 10:20:08 PM",347,1392.55,1399.99
"5/22/2024, 4:21:40 AM",390,1392.55,1399.99
"5/22/2024, 10:23:30 AM",422,1392.54,1399.99
"5/22/2024, 1:24:28 PM",390,1392.54,1399.99
"5/22/2024, 4:25:24 PM",395,1392.54,1399.99
"5/22/2024, 7:26:09 PM",372,1392.54,1399.99
"5/22/2024, 10:26:37 PM",359,1392.54,1399.99
"5/23/2024, 1:27:25 AM",330,1392.54,1399.99
"5/23/2024, 4:28:08 AM",400,1392.54,1399.99
"5/23/2024, 7:28:42 AM",376,1392.54,1399.99
"5/23/2024, 1:30:17 PM",350,1392.54,1399.99
"5/23/2024, 4:31:03 PM",334,1392.54,1399.99
"5/23/2024, 7:31:31 PM",324,1392.54,1399.99
"5/23/2024, 10:32:24 PM",357,1392.54,1399.99
"5/24/2024, 1:33:13 AM",367,1392.54,1399.99
"5/24/2024, 4:34:05 AM",355,1392.54,1399.99
"5/24/2024, 7:34:39 AM",379,1392.54,1399.99
"5/24/2024, 1:36:20 PM",419,1392.54,1399.99
"5/24/2024, 4:37:06 PM",437,1392.54,1399.99
"5/24/2024, 7:37:50 PM",433,1392.54,1399.99
"5/24/2024, 10:38:41 PM",347,1392.54,1399.99
"5/25/2024, 1:39:29 AM",362,1389,1399.99
"5/25/2024, 7:40:53 AM",340,1389,1399.99
"5/25/2024, 10:41:38 AM",293,1389,1399.99
"5/25/2024, 1:42:30 PM",290,1389,1399.99
"5/25/2024, 4:43:14 PM",284,1389,1399.99
"5/25/2024, 7:44:04 PM",294,1389,1399.99
"5/25/2024, 10:44:39 PM",241,1389,1399.99
"5/26/2024, 1:45:39 AM",232,1389,1399.99
"5/26/2024, 7:47:07 AM",256,1389,1399.99
"5/26/2024, 10:47:50 AM",214,1392.2,1399.99
"5/26/2024, 1:48:33 PM",221,1392.2,1399.99
"5/26/2024, 4:49:24 PM",219,1392.2,1399.99
"5/26/2024, 7:50:11 PM",221,1392.2,1399.99
"5/26/2024, 10:50:50 PM",230,1392.2,1399.99
"5/27/2024, 1:51:32 AM",213,1392.2,1399.99
"5/27/2024, 4:52:22 AM",208,1392.2,1399.99
"5/27/2024, 7:53:11 AM",240,1392.01,1399.99
"5/27/2024, 1:54:27 PM",247,1392.01,1399.99
"5/27/2024, 7:56:15 PM",264,1392.01,1399.99
"5/27/2024, 10:56:57 PM",268,1392.01,1399.99
"5/28/2024, 4:58:37 AM",325,1392.01,1399.99
"5/28/2024, 7:59:28 AM",254,1391.83,1399.99
"5/28/2024, 11:00:18 AM",279,1392.01,1399.99
"5/28/2024, 2:04:02 PM",301,1392.01,1399.99
"5/28/2024, 5:04:30 PM",294,1392.01,1399.99
"5/28/2024, 11:06:07 PM",306,1392.01,1399.99
"5/29/2024, 2:07:08 AM",338,1392.01,1399.99
"5/29/2024, 5:07:51 AM",329,1392.01,1399.99
"5/29/2024, 8:08:44 AM",338,1391.83,1399.99
"5/29/2024, 11:09:40 AM",317,1392.01,1399.99
"5/29/2024, 2:10:31 PM",302,1392.01,1399.99
"5/29/2024, 5:11:18 PM",304,1392.01,1399.99
"5/29/2024, 11:13:49 PM",310,1392.01,1399.99
"5/30/2024, 2:14:37 AM",398,1392.01,1399.99
"5/30/2024, 5:15:27 AM",412,1392.01,1399.99
"5/30/2024, 8:16:07 AM",362,1392.01,1399.99
"5/30/2024, 11:16:52 AM",349,1392.01,1399.99
"5/30/2024, 2:17:30 PM",353,1392.01,1399.99
"5/30/2024, 5:18:14 PM",367,1392.01,1399.99
"5/30/2024, 8:18:58 PM",416,1392.01,1399.99
"5/30/2024, 11:19:44 PM",416,1371.52,1399.99
"5/31/2024, 2:20:33 AM",370,1346.52,1399.99
"5/31/2024, 5:21:25 AM",311,1346.52,1399.99
"5/31/2024, 8:22:15 AM",248,1346.52,1399.99
"5/31/2024, 11:23:04 AM",226,1346.49,1399.99
"5/31/2024, 2:23:38 PM",227,1346.49,1399.99
"5/31/2024, 5:24:25 PM",212,1254.92,1399.99
"5/31/2024, 11:25:59 PM",264,1254.92,1399.99
"6/1/2024, 2:26:37 AM",277,1254.92,1399.99
"6/1/2024, 5:27:26 AM",310,1254.92,1399.99
"6/1/2024, 8:28:19 AM",315,1254.92,1399.99
"6/1/2024, 11:29:05 AM",249,1254.92,1399.99
"6/1/2024, 2:29:39 PM",281,1254.92,1399.99
"6/1/2024, 5:30:26 PM",288,1254.92,1399.99
"6/2/2024, 2:32:38 AM",286,1254.92,1399.99
"6/2/2024, 5:33:23 AM",213,1254.92,1399.99
"6/2/2024, 8:34:13 AM",197,1254.92,1399.99
"6/2/2024, 11:35:05 AM",167,1254.92,1399.99
"6/2/2024, 2:35:44 PM",170,1254.92,1399.99
"6/2/2024, 5:36:35 PM",175,1254.92,1399.99
"6/2/2024, 8:37:26 PM",188,1254.92,1399.99
"6/2/2024, 11:38:13 PM",166,1254.92,1399.99
"6/3/2024, 5:39:38 AM",168,1391.64,1399.99
"6/3/2024, 8:40:25 AM",151,1391.46,1399.99
"6/3/2024, 11:41:13 AM",188,1392.01,1399.99
"6/3/2024, 2:42:08 PM",228,1392.01,1399.99
"6/3/2024, 5:42:42 PM",230,1392.01,1399.99
"6/3/2024, 8:49:45 PM",245,1309.92,1399.99
"6/3/2024, 11:50:45 PM",315,1309.92,1399.99
"6/4/2024, 2:51:28 AM",293,1309.92,1399.99
"6/4/2024, 5:52:21 AM",293,1311.65,1399.99
"6/4/2024, 8:53:19 AM",282,1311.47,1399.99
"6/4/2024, 12:02:18 PM",283,1311.47,1399.99
"6/4/2024, 3:03:16 PM",271,1311.47,1399.99
"6/4/2024, 6:04:06 PM",241,1271.47,1399.99
"6/4/2024, 9:04:40 PM",262,1271.47,1399.99
"6/5/2024, 12:05:52 AM",282,1271.47,1399.99
"6/5/2024, 6:07:28 AM",295,1271.47,1399.99
"6/5/2024, 9:08:16 AM",236,1271.19,1399.99
"6/5/2024, 12:09:40 PM",208,1271.47,1399.99
"6/5/2024, 3:10:27 PM",219,1271.47,1399.99
"6/5/2024, 6:11:17 PM",232,1254.01,1399.99
"6/6/2024, 12:13:00 AM",267,1254.01,1399.99
"6/6/2024, 3:13:44 AM",244,1254.01,1399.99
"6/6/2024, 6:14:34 AM",285,1254.01,1399.99
"6/6/2024, 9:15:21 AM",269,1254.01,1399.99
"6/6/2024, 12:16:13 PM",229,1254.01,1399.99
"6/6/2024, 6:17:46 PM",209,1236.98,1399.99
"6/6/2024, 9:18:39 PM",222,1236.98,1399.99
"6/7/2024, 12:19:29 AM",269,1236.98,1399.99
"6/7/2024, 3:20:16 AM",307,1236.98,1399.99
"6/7/2024, 6:21:03 AM",281,1236.98,1399.99
"6/7/2024, 9:21:42 AM",267,1392.01,1399.99
"6/7/2024, 12:22:43 PM",267,1389,1399.99
"6/7/2024, 6:24:22 PM",253,1236.98,1399.99
"6/7/2024, 9:25:07 PM",281,1236.98,1399.99
"6/8/2024, 12:25:51 AM",332,1236.98,1399.99
"6/8/2024, 3:26:39 AM",339,1236.98,1399.99
"6/8/2024, 6:27:29 AM",312,1389,1399.99
"6/8/2024, 9:28:20 AM",313,1369,1399.99
"6/8/2024, 3:30:41 PM",364,1369,1399.99
"6/8/2024, 6:31:33 PM",345,1369,1399.99
"6/8/2024, 9:32:23 PM",328,1369,1399.99
"6/9/2024, 12:33:15 AM",377,1369,1399.99
"6/9/2024, 3:34:08 AM",359,1369,1399.99
"6/9/2024, 6:34:57 AM",359,1236.98,1399.99
"6/9/2024, 9:35:42 AM",304,1372.2,1399.99
"6/9/2024, 12:36:35 PM",335,1372.2,1399.99
"6/9/2024, 3:37:24 PM",358,1372.19,1399.99
"6/9/2024, 6:38:13 PM",351,1372.19,1399.99
"6/9/2024, 9:39:05 PM",379,1336.98,1399.99
"6/10/2024, 12:39:52 AM",400,1336.98,1399.99
"6/10/2024, 3:40:27 AM",344,1338.67,1399.99
"6/10/2024, 6:41:17 AM",344,1339.99,1399.99
"6/10/2024, 9:42:09 AM",320,1339.99,1399.99
"6/10/2024, 12:43:17 PM",316,1340.17,1399.99
"6/10/2024, 3:44:07 PM",332,1340.17,1399.99
"6/10/2024, 6:44:41 PM",339,1319.98,1399.99
"6/10/2024, 9:45:28 PM",351,1309.58,1399.99
"6/11/2024, 12:46:43 AM",431,1254.98,1399.99
"6/11/2024, 3:47:29 AM",416,1254.98,1399.99
"6/11/2024, 9:52:27 AM",454,1254.98,1399.99
"6/11/2024, 1:00:57 PM",431,1254.98,1399.99
"6/11/2024, 4:01:29 PM",398,1254.98,1399.99
"6/11/2024, 7:02:21 PM",424,1254.98,1399.99
"6/12/2024, 1:38:59 AM",371,1252.98,1399.99
"6/12/2024, 7:40:47 AM",334,1252.98,1399.99
"6/12/2024, 10:41:39 AM",395,1252.98,1399.99
"6/12/2024, 1:43:47 PM",346,1252.98,1399.99
"6/12/2024, 4:44:52 PM",367,1252.98,1399.99
"6/12/2024, 7:45:35 PM",376,1252.98,1399.99
"6/12/2024, 10:46:35 PM",415,1252.98,1399.99
"6/13/2024, 4:48:29 AM",457,1252.98,1399.99
"6/13/2024, 10:50:07 AM",449,1252.98,1399.99
"6/13/2024, 5:00:37 PM",431,1252.98,1399.99
"6/13/2024, 8:11:49 PM",364,1252.98,1399.99
"6/13/2024, 11:14:02 PM",415,1252.98,1399.99
"6/14/2024, 2:22:27 AM",428,1309,1399.99
"6/14/2024, 5:23:31 AM",362,1309,1399.99
"6/14/2024, 8:24:22 AM",362,1252.98,1399.99
"6/14/2024, 11:25:14 AM",384,1309,1399.99
"6/14/2024, 2:26:10 PM",435,1309.56,1399.99
"6/14/2024, 5:26:56 PM",352,1309.56,1399.99
"6/14/2024, 8:27:39 PM",351,1252.98,1399.99
"6/14/2024, 11:28:31 PM",415,1244.98,1399.99
"6/15/2024, 2:29:32 AM",414,1244.98,1399.99
"6/15/2024, 5:30:27 AM",381,1244.98,1399.99
"6/15/2024, 8:31:13 AM",383,1244.98,1399.99
"6/15/2024, 2:32:57 PM",386,1244.98,1399.99
"6/15/2024, 5:33:45 PM",387,1244.98,1399.99
"6/15/2024, 8:34:39 PM",378,1309,1399.99
"6/15/2024, 11:35:31 PM",329,1309.55,1399.99
"6/16/2024, 2:36:35 AM",337,1309.55,1399.99
"6/16/2024, 5:37:24 AM",304,1309.55,1399.99
"6/16/2024, 8:38:13 AM",270,1309.56,1399.99
"6/16/2024, 2:39:39 PM",239,1244.98,1399.99
"6/16/2024, 5:40:28 PM",250,1309.56,1399.99
"6/16/2024, 8:41:14 PM",251,1309.56,1399.99
"6/16/2024, 11:42:06 PM",281,1309.56,1399.99
"6/17/2024, 2:42:51 AM",269,1309.56,1399.99
"6/17/2024, 5:43:49 AM",286,1309.56,1399.99
"6/17/2024, 8:44:45 AM",331,1309.56,1399.99
"6/17/2024, 11:45:32 AM",331,1309.55,1399.99
"6/17/2024, 2:46:22 PM",326,1309.55,1399.99
"6/17/2024, 8:48:24 PM",312,1309.55,1399.99
"6/17/2024, 11:49:14 PM",290,1309.55,1399.99
"6/18/2024, 2:50:06 AM",419,1309.55,1399.99
"6/18/2024, 5:51:00 AM",387,1309.55,1399.99
"6/18/2024, 8:51:40 AM",302,1309.55,1399.99
"6/18/2024, 2:53:16 PM",313,1309.55,1399.99
"6/18/2024, 5:54:11 PM",311,1309.55,1399.99
"6/18/2024, 8:54:44 PM",309,1309.55,1399.99
"6/18/2024, 11:55:31 PM",316,1309.55,1399.99
